,player_id,team,has_ball,kr_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,OJY,1,True,오지영,848.6761474609375,254.64996337890625,999.746337890625,504.15142822265625
1,SMJ,1,False,손명준,279.89532470703125,97.88803100585938,357.4841613769531,327.8619384765625
2,KSW,1,False,김성욱,483.9554443359375,90.24281311035156,542.66552734375,220.71971130371094
3,SDG,1,False,신대근,895.4559326171875,161.56658935546875,974.5980224609375,312.1477966308594
4,SHW,0,False,서한울,326.3047180175781,235.0894012451172,406.5123596191406,451.28057861328125
5,KSI,0,False,김성일,419.27960205078125,190.1636962890625,479.0315246582031,339.4647216796875
6,KDW,0,False,강동욱,765.1719360351562,176.12887573242188,819.3397216796875,367.961669921875
7,KYS,0,False,가윤성,654.85302734375,135.2354736328125,705.3082885742188,264.7227783203125
8,OJY,1,True,오지영,853.3339233398438,256.1605529785156,1003.642333984375,504.06536865234375
9,SMJ,1,False,손명준,279.88482666015625,97.96188354492188,357.45489501953125,327.87359619140625
10,KSW,1,False,김성욱,483.95513916015625,90.24098205566406,542.6665649414062,220.72079467773438
11,SDG,1,False,신대근,898.8908081054688,161.97555541992188,976.0731201171875,308.5749816894531
12,SHW,0,False,서한울,327.6216125488281,233.6412811279297,408.1611022949219,450.9004211425781
13,KSI,0,False,김성일,419.2719421386719,190.14842224121094,479.0574951171875,339.5335998535156
14,KDW,0,False,강동욱,767.7230834960938,174.52232360839844,821.2954711914062,364.37872314453125
15,KYS,0,False,가윤성,654.8594360351562,135.36817932128906,705.2725219726562,264.7457275390625
16,OJY,1,True,오지영,855.1556396484375,256.86944580078125,1009.1561889648438,510.2576904296875
17,SMJ,1,False,손명준,279.9558410644531,97.81719970703125,357.5852355957031,327.8905029296875
18,KSW,1,False,김성욱,483.9500732421875,90.20674896240234,542.6704711914062,220.7137908935547
19,SDG,1,False,신대근,896.0194702148438,163.5545654296875,973.77490234375,311.29742431640625
20,SHW,0,False,서한울,327.6290588378906,232.84703063964844,408.5569763183594,451.5264587402344
21,KSI,0,False,김성일,419.2277526855469,189.7387237548828,479.21417236328125,339.6471862792969
22,KDW,0,False,강동욱,772.7059936523438,173.63328552246094,825.2526245117188,360.5045471191406
23,KYS,0,False,가윤성,654.841796875,135.21803283691406,705.2955932617188,264.68707275390625
24,OJY,1,True,오지영,857.7457275390625,260.07061767578125,1016.4037475585938,520.100830078125
25,SMJ,1,False,손명준,279.85308837890625,97.52566528320312,357.5902099609375,327.8494873046875
26,KSW,1,False,김성욱,483.87579345703125,90.06459045410156,542.6708984375,220.7565155029297
27,SDG,1,False,신대근,891.2933959960938,164.24864196777344,971.5335693359375,317.3869323730469
28,SHW,0,False,서한울,327.4864807128906,232.80328369140625,408.3128356933594,451.7246398925781
29,KSI,0,False,김성일,419.24749755859375,189.66085815429688,479.2701721191406,339.6885681152344
30,KDW,0,False,강동욱,776.3092041015625,172.8004150390625,828.0286254882812,357.9606628417969
31,KYS,0,False,가윤성,654.86083984375,135.25759887695312,705.29248046875,264.6466064453125
32,OJY,1,True,오지영,862.458251953125,262.1114807128906,1022.5594482421875,523.3475952148438
33,SMJ,1,False,손명준,279.9635314941406,98.03678894042969,357.563720703125,327.8222961425781
34,KSW,1,False,김성욱,483.8456115722656,90.02182006835938,542.6566162109375,220.76934814453125
35,SDG,1,False,신대근,888.090576171875,162.12828063964844,970.0256958007812,319.7326965332031
36,SHW,0,False,서한울,327.4159851074219,232.6213836669922,408.1086730957031,451.81207275390625
37,KSI,0,False,김성일,419.2572021484375,189.57040405273438,479.28033447265625,339.6534729003906
38,KDW,0,False,강동욱,778.1412963867188,172.3772735595703,829.3027954101562,356.8966064453125
39,KYS,0,False,가윤성,654.9271850585938,135.27745056152344,705.2398681640625,264.3078918457031
40,OJY,1,True,오지영,866.6051635742188,262.9467468261719,1029.3638916015625,527.9129028320312
41,SMJ,1,False,손명준,279.7456359863281,97.88052368164062,357.6059875488281,328.29669189453125
42,KSW,1,False,김성욱,483.8633728027344,89.9921646118164,542.6973266601562,220.7816619873047
43,SDG,1,False,신대근,887.0584106445312,159.5128173828125,969.2057495117188,319.0256042480469
44,SHW,0,False,서한울,327.52227783203125,232.77001953125,407.8904113769531,451.8232421875
45,KSI,0,False,김성일,419.2938232421875,189.5365753173828,479.29345703125,339.6227111816406
46,KDW,0,False,강동욱,778.5813598632812,172.03213500976562,829.9672241210938,358.0083923339844
47,KYS,0,False,가윤성,654.9208374023438,135.25938415527344,705.217529296875,264.193359375
48,OJY,1,True,오지영,882.712158203125,265.3924865722656,1052.2554931640625,545.332275390625
49,SMJ,1,False,손명준,279.77410888671875,97.47674560546875,357.7291564941406,328.0689392089844
50,KSW,1,False,김성욱,483.8717346191406,89.94047546386719,542.7369995117188,220.78968811035156
51,SDG,1,False,신대근,887.6714477539062,158.3306427001953,968.6047973632812,316.9347839355469
52,SHW,0,False,서한울,328.1925048828125,232.56590270996094,408.041015625,451.1575622558594
53,KSI,0,False,김성일,419.336669921875,189.5237579345703,479.3232421875,339.6383972167969
54,KDW,0,False,강동욱,772.2595825195312,172.1402587890625,824.998046875,360.136474609375
55,KYS,0,False,가윤성,654.9012451171875,135.1621551513672,705.2237548828125,264.1034240722656
56,OJY,1,True,오지영,892.49169921875,269.64892578125,1056.5982666015625,543.7374267578125
57,SMJ,1,False,손명준,280.0128173828125,98.00821685791016,357.8316345214844,328.10760498046875
58,KSW,1,False,김성욱,483.84027099609375,89.94847106933594,542.71533203125,220.7821044921875
